yearID,teamID,league,playerID,salary,SalaryID
1991,PHI,NL,akerfda01,165000,4628
1991,PHI,NL,backmwa01,650000,4629
1991,PHI,NL,batiski01,100000,4630
1991,PHI,NL,boevejo01,725000,4631
1991,PHI,NL,bookero01,140000,4632
1991,PHI,NL,campusi01,220000,4633
1991,PHI,NL,chambwe01,105000,4634
1991,PHI,NL,combspa01,220000,4635
1991,PHI,NL,coxda01,520000,4636
1991,PHI,NL,daultda01,1916666,4637
1991,PHI,NL,dejesjo01,145000,4638
1991,PHI,NL,dykstle01,2216666,4639
1991,PHI,NL,greento01,115000,4640
1991,PHI,NL,grimsja01,118000,4641
1991,PHI,NL,hayesch01,280000,4642
1991,PHI,NL,hayesvo01,2200000,4643
1991,PHI,NL,hollida01,116000,4644
1991,PHI,NL,howelke01,1750000,4645
1991,PHI,NL,jonesro02,130000,4646
1991,PHI,NL,jordari02,250000,4647
1991,PHI,NL,krukjo01,1175000,4648
1991,PHI,NL,lakest01,390000,4649
1991,PHI,NL,mcdowro01,2000000,4650
1991,PHI,NL,mulhote01,475000,4651
1991,PHI,NL,murphda05,2500000,4652
1991,PHI,NL,ontivst02,180000,4653
1991,PHI,NL,readyra01,600000,4654
1991,PHI,NL,sveumda01,335000,4655
1991,PHI,NL,thondi01,1250000,4656
1991,PHI,NL,willimi02,1500000,4657
1991,PIT,NL,belinst01,190000,4658
1991,PIT,NL,bellja01,380000,4659
1991,PIT,NL,bondsba01,2300000,4660
1991,PIT,NL,bonilbo01,2400000,4661
1991,PIT,NL,drabedo01,3350000,4662
1991,PIT,NL,gonzajo02,280000,4663
1991,PIT,NL,heatone01,1000000,4664
1991,PIT,NL,kingje01,215000,4665
1991,PIT,NL,kippebo01,835000,4666
1991,PIT,NL,landrbi01,820000,4667
1991,PIT,NL,lavalmi01,1035000,4668
1991,PIT,NL,lindjo01,575000,4669
1991,PIT,NL,martica01,925000,4670
1991,PIT,NL,mcclell01,260000,4671
1991,PIT,NL,palacvi01,125000,4672
1991,PIT,NL,pattebo01,325000,4673
1991,PIT,NL,princto01,118000,4674
1991,PIT,NL,redusga01,600000,4675
1991,PIT,NL,richaje01,105000,4676
1991,PIT,NL,slaugdo01,766667,4677
1991,PIT,NL,smilejo01,1050000,4678
1991,PIT,NL,smithza01,2225000,4679
1991,PIT,NL,tomlira01,120000,4680
1991,PIT,NL,vanslan01,2180000,4681
1991,PIT,NL,varshga01,155000,4682
1991,PIT,NL,walkbo01,850000,4683
1991,PIT,NL,wilkecu01,450000,4684
1991,SDN,NL,abnersh01,180000,4685
1991,SDN,NL,aldremi01,510000,4686
1991,SDN,NL,anderla02,2000000,4687
1991,SDN,NL,benesan01,235000,4688
1991,SDN,NL,bilarda01,115000,4689
1991,SDN,NL,clarkje01,127500,4690
1991,SDN,NL,fariepa01,100000,4691
1991,SDN,NL,fernato01,2100000,4692
1991,SDN,NL,gardnwe01,575000,4693
1991,SDN,NL,gwynnto01,2162500,4694
1991,SDN,NL,hammaat01,100000,4695
1991,SDN,NL,hernaje02,100000,4696
1991,SDN,NL,howarth01,105000,4697
1991,SDN,NL,hurstbr01,1883334,4698
1991,SDN,NL,lampkto01,107500,4699
1991,SDN,NL,leffecr01,2641667,4700
1991,SDN,NL,lillide01,182500,4701
1991,SDN,NL,mcgrifr01,2750000,4702
1991,SDN,NL,melenjo01,100000,4703
1991,SDN,NL,nolteer01,100000,4704
1991,SDN,NL,preslji01,500000,4705
1991,SDN,NL,rasmude01,805000,4706
1991,SDN,NL,roberbi01,675000,4707
1991,SDN,NL,rodriri02,115000,4708
1991,SDN,NL,rosenst01,130000,4709
1991,SDN,NL,santibe01,1650000,4710
1991,SDN,NL,stephph01,130000,4711
1991,SDN,NL,templga01,530000,4712
1991,SDN,NL,vatchji01,115000,4713
1991,SDN,NL,whitsed01,1325000,4714
